,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country_name,Continent
144,PISAMATH,BOY,MEANSCORE,A,2009,491.0,Ireland,EU
145,PISAMATH,BOY,MEANSCORE,A,2012,509.035,Ireland,EU
146,PISAMATH,BOY,MEANSCORE,A,2015,512.0,Ireland,EU
147,PISAMATH,BOY,MEANSCORE,A,2018,503.0,Ireland,EU
148,PISAMATH,GIRL,MEANSCORE,A,2003,495.0,Ireland,EU
149,PISAMATH,GIRL,MEANSCORE,A,2006,496.0,Ireland,EU
150,PISAMATH,GIRL,MEANSCORE,A,2009,483.0,Ireland,EU
151,PISAMATH,GIRL,MEANSCORE,A,2012,493.705,Ireland,EU
152,PISAMATH,GIRL,MEANSCORE,A,2015,495.0,Ireland,EU
153,PISAMATH,GIRL,MEANSCORE,A,2018,497.0,Ireland,EU
154,PISAMATH,BOY,MEANSCORE,A,2003,475.0,Italy,EU
155,PISAMATH,BOY,MEANSCORE,A,2006,470.0,Italy,EU
156,PISAMATH,BOY,MEANSCORE,A,2009,490.0,Italy,EU
157,PISAMATH,BOY,MEANSCORE,A,2012,494.199,Italy,EU
158,PISAMATH,BOY,MEANSCORE,A,2015,500.0,Italy,EU
159,PISAMATH,BOY,MEANSCORE,A,2018,494.0,Italy,EU
160,PISAMATH,GIRL,MEANSCORE,A,2003,457.0,Italy,EU
161,PISAMATH,GIRL,MEANSCORE,A,2006,453.0,Italy,EU
162,PISAMATH,GIRL,MEANSCORE,A,2009,475.0,Italy,EU
163,PISAMATH,GIRL,MEANSCORE,A,2012,475.794,Italy,EU
164,PISAMATH,GIRL,MEANSCORE,A,2015,480.0,Italy,EU
165,PISAMATH,GIRL,MEANSCORE,A,2018,479.0,Italy,EU
166,PISAMATH,BOY,MEANSCORE,A,2003,539.0,Japan,AS
167,PISAMATH,BOY,MEANSCORE,A,2006,533.0,Japan,AS
168,PISAMATH,BOY,MEANSCORE,A,2009,534.0,Japan,AS
169,PISAMATH,BOY,MEANSCORE,A,2012,544.884,Japan,AS
170,PISAMATH,BOY,MEANSCORE,A,2015,539.0,Japan,AS
171,PISAMATH,BOY,MEANSCORE,A,2018,532.0,Japan,AS
172,PISAMATH,GIRL,MEANSCORE,A,2003,530.0,Japan,AS
173,PISAMATH,GIRL,MEANSCORE,A,2006,513.0,Japan,AS
174,PISAMATH,GIRL,MEANSCORE,A,2009,524.0,Japan,AS
175,PISAMATH,GIRL,MEANSCORE,A,2012,527.011,Japan,AS
176,PISAMATH,GIRL,MEANSCORE,A,2015,525.0,Japan,AS
177,PISAMATH,GIRL,MEANSCORE,A,2018,522.0,Japan,AS
178,PISAMATH,BOY,MEANSCORE,A,2003,552.0,"Korea, Republic of",AS
179,PISAMATH,BOY,MEANSCORE,A,2006,552.0,"Korea, Republic of",AS
180,PISAMATH,BOY,MEANSCORE,A,2009,548.0,"Korea, Republic of",AS
181,PISAMATH,BOY,MEANSCORE,A,2012,562.114,"Korea, Republic of",AS
182,PISAMATH,BOY,MEANSCORE,A,2015,521.0,"Korea, Republic of",AS
183,PISAMATH,BOY,MEANSCORE,A,2018,528.0,"Korea, Republic of",AS
184,PISAMATH,GIRL,MEANSCORE,A,2003,528.0,"Korea, Republic of",AS
185,PISAMATH,GIRL,MEANSCORE,A,2006,543.0,"Korea, Republic of",AS
186,PISAMATH,GIRL,MEANSCORE,A,2009,544.0,"Korea, Republic of",AS
187,PISAMATH,GIRL,MEANSCORE,A,2012,544.193,"Korea, Republic of",AS
188,PISAMATH,GIRL,MEANSCORE,A,2015,528.0,"Korea, Republic of",AS
189,PISAMATH,GIRL,MEANSCORE,A,2018,524.0,"Korea, Republic of",AS
190,PISAMATH,BOY,MEANSCORE,A,2003,502.0,Luxembourg,EU
191,PISAMATH,BOY,MEANSCORE,A,2006,498.0,Luxembourg,EU
192,PISAMATH,BOY,MEANSCORE,A,2009,499.0,Luxembourg,EU
193,PISAMATH,BOY,MEANSCORE,A,2012,502.193,Luxembourg,EU
194,PISAMATH,BOY,MEANSCORE,A,2015,491.0,Luxembourg,EU
195,PISAMATH,BOY,MEANSCORE,A,2018,487.0,Luxembourg,EU
196,PISAMATH,GIRL,MEANSCORE,A,2003,485.0,Luxembourg,EU
197,PISAMATH,GIRL,MEANSCORE,A,2006,482.0,Luxembourg,EU
198,PISAMATH,GIRL,MEANSCORE,A,2009,479.0,Luxembourg,EU
199,PISAMATH,GIRL,MEANSCORE,A,2012,477.117,Luxembourg,EU
200,PISAMATH,GIRL,MEANSCORE,A,2015,480.0,Luxembourg,EU
201,PISAMATH,GIRL,MEANSCORE,A,2018,480.0,Luxembourg,EU
202,PISAMATH,BOY,MEANSCORE,A,2003,391.0,Mexico,'NA'
203,PISAMATH,BOY,MEANSCORE,A,2006,410.0,Mexico,'NA'
204,PISAMATH,BOY,MEANSCORE,A,2009,425.0,Mexico,'NA'
205,PISAMATH,BOY,MEANSCORE,A,2012,420.411,Mexico,'NA'
206,PISAMATH,BOY,MEANSCORE,A,2015,412.0,Mexico,'NA'
207,PISAMATH,BOY,MEANSCORE,A,2018,415.0,Mexico,'NA'
208,PISAMATH,GIRL,MEANSCORE,A,2003,380.0,Mexico,'NA'
209,PISAMATH,GIRL,MEANSCORE,A,2006,401.0,Mexico,'NA'
210,PISAMATH,GIRL,MEANSCORE,A,2009,412.0,Mexico,'NA'
211,PISAMATH,GIRL,MEANSCORE,A,2012,406.427,Mexico,'NA'
212,PISAMATH,GIRL,MEANSCORE,A,2015,404.0,Mexico,'NA'
213,PISAMATH,GIRL,MEANSCORE,A,2018,403.0,Mexico,'NA'
214,PISAMATH,BOY,MEANSCORE,A,2003,540.0,Netherlands,EU
215,PISAMATH,BOY,MEANSCORE,A,2006,537.0,Netherlands,EU
216,PISAMATH,BOY,MEANSCORE,A,2009,534.0,Netherlands,EU
217,PISAMATH,BOY,MEANSCORE,A,2012,527.967,Netherlands,EU
218,PISAMATH,BOY,MEANSCORE,A,2015,513.0,Netherlands,EU
219,PISAMATH,BOY,MEANSCORE,A,2018,520.0,Netherlands,EU
220,PISAMATH,GIRL,MEANSCORE,A,2003,535.0,Netherlands,EU
221,PISAMATH,GIRL,MEANSCORE,A,2006,524.0,Netherlands,EU
222,PISAMATH,GIRL,MEANSCORE,A,2009,517.0,Netherlands,EU
223,PISAMATH,GIRL,MEANSCORE,A,2012,517.738,Netherlands,EU
224,PISAMATH,GIRL,MEANSCORE,A,2015,511.0,Netherlands,EU
225,PISAMATH,GIRL,MEANSCORE,A,2018,519.0,Netherlands,EU
226,PISAMATH,BOY,MEANSCORE,A,2003,531.0,New Zealand,OC
227,PISAMATH,BOY,MEANSCORE,A,2006,527.0,New Zealand,OC
228,PISAMATH,BOY,MEANSCORE,A,2009,523.0,New Zealand,OC
229,PISAMATH,BOY,MEANSCORE,A,2012,507.112,New Zealand,OC
230,PISAMATH,BOY,MEANSCORE,A,2015,499.0,New Zealand,OC
231,PISAMATH,BOY,MEANSCORE,A,2018,499.0,New Zealand,OC
232,PISAMATH,GIRL,MEANSCORE,A,2003,516.0,New Zealand,OC
233,PISAMATH,GIRL,MEANSCORE,A,2006,517.0,New Zealand,OC
234,PISAMATH,GIRL,MEANSCORE,A,2009,515.0,New Zealand,OC
235,PISAMATH,GIRL,MEANSCORE,A,2012,492.057,New Zealand,OC
236,PISAMATH,GIRL,MEANSCORE,A,2015,491.0,New Zealand,OC
237,PISAMATH,GIRL,MEANSCORE,A,2018,490.0,New Zealand,OC
238,PISAMATH,BOY,MEANSCORE,A,2003,498.0,Norway,EU
239,PISAMATH,BOY,MEANSCORE,A,2006,493.0,Norway,EU
240,PISAMATH,BOY,MEANSCORE,A,2009,500.0,Norway,EU
241,PISAMATH,BOY,MEANSCORE,A,2012,490.399,Norway,EU
242,PISAMATH,BOY,MEANSCORE,A,2015,501.0,Norway,EU
243,PISAMATH,BOY,MEANSCORE,A,2018,497.0,Norway,EU
244,PISAMATH,GIRL,MEANSCORE,A,2003,492.0,Norway,EU
245,PISAMATH,GIRL,MEANSCORE,A,2006,487.0,Norway,EU
246,PISAMATH,GIRL,MEANSCORE,A,2009,495.0,Norway,EU
247,PISAMATH,GIRL,MEANSCORE,A,2012,488.293,Norway,EU
248,PISAMATH,GIRL,MEANSCORE,A,2015,503.0,Norway,EU
249,PISAMATH,GIRL,MEANSCORE,A,2018,505.0,Norway,EU
250,PISAMATH,BOY,MEANSCORE,A,2003,493.0,Poland,EU
251,PISAMATH,BOY,MEANSCORE,A,2006,500.0,Poland,EU
252,PISAMATH,BOY,MEANSCORE,A,2009,497.0,Poland,EU
253,PISAMATH,BOY,MEANSCORE,A,2012,519.564,Poland,EU
254,PISAMATH,BOY,MEANSCORE,A,2015,510.0,Poland,EU
255,PISAMATH,BOY,MEANSCORE,A,2018,516.0,Poland,EU
256,PISAMATH,GIRL,MEANSCORE,A,2003,487.0,Poland,EU
257,PISAMATH,GIRL,MEANSCORE,A,2006,491.0,Poland,EU
258,PISAMATH,GIRL,MEANSCORE,A,2009,493.0,Poland,EU
259,PISAMATH,GIRL,MEANSCORE,A,2012,515.533,Poland,EU
260,PISAMATH,GIRL,MEANSCORE,A,2015,499.0,Poland,EU
261,PISAMATH,GIRL,MEANSCORE,A,2018,515.0,Poland,EU
262,PISAMATH,BOY,MEANSCORE,A,2003,472.0,Portugal,EU
263,PISAMATH,BOY,MEANSCORE,A,2006,474.0,Portugal,EU
264,PISAMATH,BOY,MEANSCORE,A,2009,493.0,Portugal,EU
265,PISAMATH,BOY,MEANSCORE,A,2012,492.703,Portugal,EU
266,PISAMATH,BOY,MEANSCORE,A,2015,497.0,Portugal,EU
267,PISAMATH,BOY,MEANSCORE,A,2018,497.0,Portugal,EU
268,PISAMATH,GIRL,MEANSCORE,A,2003,460.0,Portugal,EU
269,PISAMATH,GIRL,MEANSCORE,A,2006,459.0,Portugal,EU
270,PISAMATH,GIRL,MEANSCORE,A,2009,481.0,Portugal,EU
271,PISAMATH,GIRL,MEANSCORE,A,2012,481.296,Portugal,EU
272,PISAMATH,GIRL,MEANSCORE,A,2015,487.0,Portugal,EU
273,PISAMATH,GIRL,MEANSCORE,A,2018,488.0,Portugal,EU
274,PISAMATH,BOY,MEANSCORE,A,2003,507.0,Slovakia,EU
275,PISAMATH,BOY,MEANSCORE,A,2006,499.0,Slovakia,EU
276,PISAMATH,BOY,MEANSCORE,A,2009,498.0,Slovakia,EU
277,PISAMATH,BOY,MEANSCORE,A,2012,486.134,Slovakia,EU
278,PISAMATH,BOY,MEANSCORE,A,2015,478.0,Slovakia,EU
279,PISAMATH,BOY,MEANSCORE,A,2018,488.0,Slovakia,EU
280,PISAMATH,GIRL,MEANSCORE,A,2003,489.0,Slovakia,EU
281,PISAMATH,GIRL,MEANSCORE,A,2006,485.0,Slovakia,EU
282,PISAMATH,GIRL,MEANSCORE,A,2009,495.0,Slovakia,EU
283,PISAMATH,GIRL,MEANSCORE,A,2012,476.712,Slovakia,EU
284,PISAMATH,GIRL,MEANSCORE,A,2015,472.0,Slovakia,EU
285,PISAMATH,GIRL,MEANSCORE,A,2018,484.0,Slovakia,EU
286,PISAMATH,BOY,MEANSCORE,A,2003,490.0,Spain,EU
287,PISAMATH,BOY,MEANSCORE,A,2006,484.0,Spain,EU
288,PISAMATH,BOY,MEANSCORE,A,2009,493.0,Spain,EU
